"Class Group","Student's Gender","Average Course Evaluation Rating","Likes (tokenized)"
"B","Male",4.7273,"practicality"
"B","Male",4.7273,"unit"
"B","Male",4.7273,"ties"
"B","Male",4.7273,"project"
"B","Female",5,"delivery"
"B","Female",5,"content"
"B","Female",4.5455,"labs"
"B","Female",4.5455,"insights"
"B","Female",4.5455,"lecturers"
"B","Female",4.5455,"teaching"
"B","Female",4.5455,"method"
"B","Male",4.8182,"content"
"B","Male",4.8182,"delivery"
"B","Male",4.8182,"written"
"B","Male",4.8182,"notesslides"
"B","Male",4.8182,"revision"
"B","Male",4.8182,"class"
"B","Male",4.8182,"video"
"B","Female",4.8182,"helpful"
"B","Female",4.8182,"responses"
"B","Female",4.8182,"lecturer"
"B","Female",4.8182,"interactive"
"B","Female",4.8182,"sessions"
"B","Female",4.8182,"learning"
"B","Female",4.8182,"purposes"
"B","Female",4.4545,"lecturer"
"B","Female",4.4545,"explain"
"B","Female",4.4545,"contents"
"B","Female",4.4545,"easy"
"B","Female",4.4545,"talk"
"B","Female",4.4545,"questions"
"B","Female",4.4545,"understood"
"B","Male",4.6364,"understandable"
"B","Male",3.9091,"interactive"
"B","Male",3.9091,"informing"
"B","Female",4,"easy"
"B","Female",4,"understand"
"B","Female",4,"explained"
"B","Male",4,"mode"
"B","Male",4,"delivery"
"B","Female",4.5455,"lecturers"
"B","Female",4.5455,"responding"
"B","Female",4.5455,"questions"
"B","Female",4.5455,"concepts"
"B","Female",4.5455,"developed"
"B","Female",4.5455,"topic"
"B","Male",4.3636,"topics"
"B","Male",4.3636,"notes"
"B","Male",4.3636,"developed"
"B","Female",4.3636,"lecture"
"B","Female",4.3636,"notes"
"B","Female",4.3636,"amount"
"B","Female",4.3636,"extra"
"B","Female",4.3636,"resources"
"B","Female",4.3636,"provided"
"B","Female",4.3636,"teacher"
"B","Female",4.3636,"lend"
"B","Female",4.3636,"helping"
"B","Female",4.3636,"hand"
"B","Male",5,"inhtegrating"
"B","Male",5,"ineractive"
"B","Male",5,"mode"
"B","Male",5,"delivery"
"B","Male",5,"labs"
"B","Female",5,"lecturer"
"B","Female",5,"explains"
"B","Female",5,"concepts"
"B","Female",5,"encourages"
"B","Female",5,"people"
"B","Female",5,"engage"
"B","Female",5,"class"
"B","Female",5,"participation"
"B","Female",5,"meetings"
"B","Female",5,"student"
"B","Female",5,"sets"
"B","Female",5,"assistance"
"B","Female",4.4545,"business"
"B","Female",4.4545,"intelligence"
"B","Female",4.4545,"fascinating"
"B","Female",4.4545,"unit"
"B","Female",4.4545,"lecturer"
"B","Female",4.4545,"makes"
"B","Female",4.4545,"teaches"
"B","Female",4.4545,"explains"
"B","Female",4.6364,"interactive"
"B","Male",4,"lessons"
"B","Male",4,"indulging"
"B","Male",4,"concepts"
"B","Male",4,"explained"
"B","Male",4.9091,"labs"
"B","Male",4.9091,"quizzes"
"B","Male",4.9091,"helpful"
"B","Male",4,"notes"
"B","Male",4,"slides"
"B","Male",4.6364,"solve"
"B","Male",4.6364,"real"
"B","Male",4.6364,"world"
"B","Male",4.6364,"business"
"B","Male",4.6364,"concepts"
"B","Male",4.6364,"taught"
"B","Male",4.6364,"class"
"B","Male",5,"lecturer"
"B","Male",5,"explains"
"B","Male",5,"manner"
"B","Male",5,"makes"
"B","Male",5,"easy"
"B","Male",5,"understand"
"B","Male",5,"teacher"
"B","Male",5,"makes"
"B","Male",5,"students"
"B","Male",5,"understand"
"B","Male",5,"moves"
"B","Male",5,"topic"
"B","Male",5,"questions"
"B","Male",5,"perceived"
"B","Male",5,"valid"
"B","Male",5,"answered"
"B","Male",4.7273,"reading"
"B","Male",4.7273,"notes"
"B","Female",5,"concepts"
"B","Female",5,"explained"
"B","Female",5,"lecurer"
"B","Male",4.6364,"noteslabs"
"B","Male",4.4545,"indepth"
"B","Male",4.4545,"content"
"B","Male",4.4545,"topic"
"B","Male",4.4545,"labs"
"B","Male",4.4545,"assignment"
"B","Male",4.4545,"understanding"
"B","Female",4,"labs"
"B","Female",4,"comprehensive"
"B","Female",4,"notes"
"B","Female",4,"topic"
"B","Male",5,"lecturer"
"B","Male",5,"passionate"
"B","Male",5,"content"
"B","Male",5,"understood"
"C","Male",4.2727,"intuitive"
"C","Male",4.4545,"multiple"
"C","Male",4.4545,"resources"
"C","Male",4.4545,"outline"
"C","Male",4.1818,"classes"
"C","Male",4.1818,"start"
"C","Male",4.1818,"time"
"C","Male",4.1818,"communcation"
"C","Male",4.1818,"prior"
"C","Male",4.1818,"prepare"
"C","Male",4.1818,"incoming"
"C","Male",4.1818,"activities"
"C","Male",3.4545,"interactive"
"C","Male",3.4545,"practical"
"C","Male",4.5455,"quizzes"
"C","Male",4.5455,"helps"
"C","Male",4.5455,"gauge"
"C","Male",4.5455,"understanding"
"C","Male",4.5455,"content"
"C","Male",4.5455,"learnt"
"C","Male",4.5455,"depth"
"C","Male",4.5455,"enhances"
"C","Male",4.5455,"deep"
"C","Female",4,"analogies"
"C","Female",4,"understand"
"C","Female",4,"labs"
"C","Female",4,"simple"
"C","Male",4.4545,"content"
"C","Male",4.4545,"delivered"
"C","Male",4.4545,"efficient"
"C","Male",4.4545,"manner"
"C","Male",4.4545,"quizzes"
"C","Male",4.4545,"material"
"C","Male",4.4545,"unit"
"C","Male",4.4545,"easy"
"C","Male",4.4545,"understand"
"C","Female",4.9091,"interactive"
"C","Female",4.9091,"students"
"C","Female",4.9091,"opportunity"
"C","Female",4.9091,"concerns"
"C","Female",4.9091,"understood"
"C","Female",4.9091,"concept"
"C","Female",4.9091,"labs"
"C","Female",4.9091,"class"
"C","Female",4.9091,"lecturer"
"C","Female",4.9091,"helps"
"C","Female",4.9091,"understanding"
"C","Male",2.9091,"manuals"
"C","Male",2.9091,"concepts"
"C","Female",4.5455,"highly"
"C","Female",4.5455,"practical"
"C","Female",4.5455,"arranged"
"C","Female",4.5455,"chronological"
"C","Male",5,"notes"
"C","Male",5,"planning"
"C","Male",3.8182,"slides"
"C","Male",3.8182,"detailed"
"C","Male",3.8182,"lecturer"
"C","Male",3.8182,"saves"
"C","Male",3.8182,"online"
"C","Male",3.8182,"recordings"
"C","Female",4.9091,"lecturer"
"C","Female",4.9091,"ensure"
"C","Female",4.9091,"understand"
"C","Female",5,"organized"
"C","Female",5,"material"
"C","Female",5,"including"
"C","Female",5,"google"
"C","Female",5,"calendar"
"C","Female",5,"detailed"
"C","Female",5,"assignments"
"C","Female",5,"complex"
"C","Female",5,"understandable"
"C","Female",4.4545,"classes"
"C","Female",4.4545,"start"
"C","Female",4.4545,"time"
"C","Female",4.4545,"content"
"C","Female",4.4545,"delivered"
"C","Female",4.8182,"concepts"
"C","Female",4.8182,"outlined"
"C","Female",4.8182,"notes"
"C","Female",4.8182,"lectures"
"C","Female",4.8182,"read"
"C","Female",4.8182,"ahead"
"C","Female",4.8182,"lecturer"
"C","Female",4.8182,"takes"
"C","Female",4.8182,"content"
"C","Female",4.8182,"answers"
"C","Female",4.8182,"questions"
"C","Female",4.8182,"class"
"C","Female",4.5455,"practical"
"C","Female",4.5455,"lecturer"
"C","Female",4.5455,"versed"
"C","Female",4.5455,"content"
"C","Female",4.5455,"teaching"
"C","Female",4.6364,"explanation"
"C","Female",4.6364,"concepts"
"C","Female",4.6364,"explanations"
"C","Female",4.6364,"givenmaking"
"C","Female",4.6364,"understanding"
"C","Female",4.6364,"easy"
"C","Female",4.6364,"learning"
"C","Female",4.6364,"gradual"
"C","Female",4.6364,"covers"
"C","Female",4.6364,"scope"
"C","Female",5,"notes"
"C","Male",3.5455,"punctuality"
"C","Male",3.5455,"understanding"
"C","Male",4.2727,"teacher"
"C","Male",4.2727,"teaching"
"C","Male",4.2727,"lessons"
"C","Male",4.2727,"easy"
"C","Male",4.2727,"follow"
"C","Female",4.8182,"pace"
"C","Female",4.8182,"topics"
"C","Female",4.8182,"developed"
"C","Male",4.4545,"manuals"
"C","Male",4.4545,"understand"
"C","Male",4.4545,"practical"
"C","Male",4.4545,"aspects"
"C","Male",4.4545,"quizzes"
"C","Male",4.4545,"hard"
"C","Male",4.4545,"encourage"
"C","Male",4.4545,"read"
"C","Male",5,"concepts"
"C","Male",5,"learnt"
"C","Male",5,"expanded"
"C","Male",5,"broadly"
"C","Male",5,"quiz"
"C","Male",5,"concept"
"C","Male",5,"check"
"C","Male",5,"fine"
"C","Male",5,"readingunderstanding"
"C","Male",5,"questions"
"C","Male",4,"unit"
"C","Male",4,"developed"
"C","Male",4,"understanding"
"C","Male",4,"references"
"C","Male",4,"real"
"C","Male",4,"world"
"C","Male",4,"scenarios"
"C","Male",4.1818,"quizes"
"C","Male",4.1818,"unit"
"C","Male",4.1818,"lecture"
"C","Male",4.1818,"notes"
"C","Male",4.9091,"teaching"
"C","Male",4.9091,"unit"
"C","Male",4.9091,"excellent"
"C","Male",4.9091,"concepts"
"C","Male",4.9091,"explained"
"C","Male",4.9091,"relevant"
"C","Male",4.9091,"businessrelated"
"C","Male",4.9091,"examples"
"C","Male",4.9091,"easier"
"C","Male",4.9091,"understand"
"C","Male",4.9091,"enjoy"
"C","Male",4.9091,"learning"
"C","Male",4.9091,"practical"
"C","Male",4.9091,"carry"
"C","Male",4.9091,"algorithms"
"C","Male",4.9091,"spreadsheet"
"C","Male",4.9091,"exciting"
"C","Female",4.2727,"enjoy"
"C","Female",4.2727,"teaching"
"C","Female",4.2727,"method"
"C","Female",4.2727,"teacher"
"C","Female",4.2727,"content"
"C","Female",4.2727,"explained"
"C","Female",4.3636,"practical"
"C","Female",4.3636,"classes"
"C","Female",4.3636,"concepts"
"C","Female",4.3636,"explained"
"C","Female",4.1818,"practical"
"C","Female",4.1818,"labs"
"C","Female",4.1818,"quizzes"
"C","Female",4.1818,"helpful"
"C","Female",4.1818,"understand"
"C","Female",4.1818,"concepts"
"C","Female",4.1818,"lecturer"
"C","Female",4.1818,"accommodating"
"C","Female",4.1818,"student"
"C","Female",4.1818,"concerns"
"C","Female",4.4545,"lecturer"
"C","Female",4.4545,"rush"
"C","Female",4.4545,"topics"
"C","Female",4.4545,"makes"
"C","Female",4.4545,"understand"
"C","Male",4.3636,"teaching"
"C","Male",4.3636,"detailed"
"C","Male",4.3636,"quizes"
"C","Male",4.3636,"extremely"
"C","Male",4.3636,"helpful"
"C","Male",4.3636,"guiding"
"C","Male",4.3636,"expect"
"C","Male",4.3636,"cats"
"C","Male",4.3636,"labs"
"C","Male",4.3636,"honest"
"C","Male",4.3636,"unit"
"C","Female",4.5455,"organization"
"C","Male",4.4545,"practical"
"C","Male",4.5455,"notes"
"C","Male",4.5455,"elearning"
"C","Male",4.5455,"labeled"
"C","Male",4.5455,"sectioned"
"C","Male",4.5455,"easier"
"C","Male",4.5455,"students"
"C","Male",4.5455,"understand"
"C","Male",5,"lecturer"
"C","Male",5,"explains"
"C","Male",5,"concepts"
"C","Male",5,"well2"
"C","Male",5,"manuals"
"C","Male",5,"understanding"
"C","Female",4.8182,"content"
"C","Female",4.8182,"explained"
"C","Female",4.8182,"enjoyable"
"C","Female",4.8182,"learn"
"C","Female",4.8182,"quick"
"C","Female",4.8182,"relevant"
"C","Female",4.8182,"feedback"
"C","Female",4.9091,"practical"
"C","Female",4.9091,"focus"
"C","Female",4.9091,"data"
"C","Female",4.9091,"create"
"C","Female",4.9091,"positive"
"C","Female",4.9091,"benefits"
"C","Female",4.9091,"business"
"C","Female",4.9091,"environment"
