"Class Group","Student's Gender","Average Course Evaluation Rating","Wishes (tokenized)"
"B","Male",4,"practical"
"B","Male",4,"sessions"
"B","Male",4,"elabotration"
"B","Male",4,"labs"
"B","Male",4,"people"
"B","Male",4,"stuck"
"B","Male",4,"class"
"B","Male",4,"discouraging"
"B","Male",4.6364,"recommend"
"B","Male",4.6364,"project"
"B","Male",4.6364,"based"
"B","Male",4.6364,"evaluation"
"B","Male",4.6364,"cats"
"B","Male",5,"physical"
"B","Male",5,"classes"
"B","Male",5,"teaching"
"B","Male",5,"online"
"B","Male",5,"physically"
"B","Male",4.7273,"fine"
"B","Female",4,"review"
"B","Female",4,"concepts"
"B","Female",4,"tricky"
"B","Female",4,"semester"
"B","Male",5,"videos"
"B","Male",5,"learning"
"C","Male",4.2727,"complex"
"C","Male",4.2727,"slides"
"C","Male",4.4545,"speak"
"C","Male",4.4545,"louder"
"C","Male",4.4545,"audibly"
"C","Male",4.4545,"physical"
"C","Male",4.4545,"lessons"
"C","Male",4.1818,"class"
"C","Male",4.1818,"engaging"
"C","Male",4.5455,"giving"
"C","Male",4.5455,"price"
"C","Male",4.5455,"performing"
"C","Male",4.5455,"motivation"
"C","Male",4.5455,"compete"
"C","Female",4,"notes"
"C","Female",4,"shorter"
"C","Female",4,"hard"
"C","Female",4,"motivation"
"C","Female",4,"slides"
"C","Male",4.4545,"separate"
"C","Male",4.4545,"slides"
"C","Male",4.4545,"scary"
"C","Male",4.4545,"reading"
"C","Male",4.4545,"quiz"
"C","Male",4.4545,"exam"
"C","Female",4.9091,"recommend"
"C","Female",4.9091,"formed"
"C","Female",4.9091,"encourage"
"C","Female",4.9091,"students"
"C","Female",4.9091,"learning"
"C","Female",4.9091,"concepts"
"C","Male",2.9091,"sliders"
"C","Male",2.9091,"worded"
"C","Male",2.9091,"incorporate"
"C","Male",2.9091,"diagrams"
"C","Male",2.9091,"illustrations"
"C","Male",2.9091,"explain"
"C","Male",2.9091,"concepts"
"C","Male",5,"lecturer"
"C","Male",5,"speak"
"C","Male",5,"louder"
"C","Male",5,"physical"
"C","Male",5,"class"
"C","Male",3.8182,"quiizzes"
"C","Female",5,"content"
"C","Female",4.4545,"lecture"
"C","Female",4.4545,"slides"
"C","Female",4.4545,"tiresome"
"C","Female",4.4545,"read"
"C","Female",4.4545,"recommendableotherwise"
"C","Female",4.8182,"cats"
"C","Female",4.8182,"multiple"
"C","Female",4.8182,"choices"
"C","Female",4.8182,"assess"
"C","Female",4.8182,"understanding"
"C","Female",4.8182,"concepts"
"C","Female",4.8182,"questions"
"C","Female",4.8182,"recall"
"C","Female",4.5455,"review"
"C","Female",4.5455,"submissions"
"C","Female",4.5455,"previous"
"C","Female",4.5455,"labs"
"C","Female",4.6364,"recommendatios"
"C","Male",3.5455,"summarised"
"C","Male",3.5455,"slides"
"C","Male",3.5455,"notes"
"C","Male",4.2727,"recommendation"
"C","Female",4.8182,"provide"
"C","Female",4.8182,"material"
"C","Female",4.8182,"understand"
"C","Female",4.8182,"concept"
"C","Male",4.4545,"quizzes"
"C","Male",4.4545,"scored"
"C","Male",4.4545,"extremely"
"C","Male",5,"process"
"C","Male",5,"flows"
"C","Male",5,"perfect"
"C","Male",5,"learning"
"C","Male",5,"experience"
"C","Male",5,"recommend"
"C","Male",4,"lecture"
"C","Male",4,"slides"
"C","Male",4,"fast"
"C","Male",4.1818,"time"
"C","Male",4.1818,"limit"
"C","Male",4.1818,"quiz"
"C","Male",4.1818,"increased"
"C","Male",4.1818,"enjoying"
"C","Male",4.1818,"unit"
"C","Male",4.9091,"recommendation"
"C","Male",4.9091,"improve"
"C","Male",4.9091,"teaching"
"C","Male",4.9091,"learning"
"C","Male",4.9091,"unit"
"C","Male",4.9091,"delivered"
"C","Male",4.9091,"efficient"
"C","Male",4.9091,"optimum"
"C","Female",4.2727,"notes"
"C","Female",4.2727,"slides"
"C","Female",4.2727,"kindly"
"C","Female",4.2727,"devide"
"C","Female",4.2727,"subtopics"
"C","Female",4.2727,"slide"
"C","Female",4.2727,"makes"
"C","Female",4.2727,"mentally"
"C","Female",4.2727,"descouraged"
"C","Female",4.2727,"start"
"C","Female",4.2727,"fewer"
"C","Female",4.2727,"task"
"C","Female",4.2727,"managable"
"C","Female",4.1818,"supplementary"
"C","Female",4.1818,"videos"
"C","Female",4.1818,"watch"
"C","Female",4.4545,"explanation"
"C","Female",4.4545,"theory"
"C","Female",4.4545,"concepts"
"C","Female",4.4545,"applied"
"C","Female",4.4545,"labs"
"C","Female",4.4545,"clarification"
"C","Male",4.3636,"quizzes"
"C","Male",4.3636,"enhance"
"C","Male",4.3636,"understanding"
"C","Male",4.3636,"slides"
"C","Male",4.3636,"alot"
"C","Male",4.3636,"writing"
"C","Male",4.3636,"cumbersome"
"C","Male",4.3636,"wordy"
"C","Male",4.3636,"lecturer"
"C","Male",4.3636,"understanding"
"C","Male",5,"allowed"
"C","Male",5,"python"
"C","Male",5,"specifically"
"C","Female",4.8182,"complaints"
"C","Female",4.9091,"teaching"
"C","Female",4.9091,"algorithm"
